Metric,Company,Year,Values,Source,Existing,Checked
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2017,243773,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,fixed,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Accenture,2017,974176,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,fixed,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2017,Unknown,,,
Newsweek+Energy Productivity,Accenture,2017,Unknown,https://wikirate.org/~5251489,,
Global Reporting Initiative+Greenhouse Gas (GHG) emissions intensity ratio (G4-EN18-a),Accenture,2017,Unknown,https://wikirate.org/~5251489,,
Climate Action Research+TCFD Supporter,Accenture,2017,Yes,https://wikirate.org/~5307235,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2017,Unknown,,,
Global Reporting Initiative+Reduction of greenhouse gas (GHG) emissions (G4-EN19-a),Accenture,2017,430000 metric tonnes,https://wikirate.org/~5251489,,
"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",Accenture,2017,Unknown,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2017,Unknown,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2017,Unknown,,,
Newsweek+Greenhouse Gas Productivity,Accenture,2017,Unknown,https://wikirate.org/~5251489,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2017,Unknown,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per dollar profit,Accenture,2017,Unknown,,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2017,Unknown,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2017,Unknown,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2016,27203,https://wikirate.org/~3357439,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2016,263050,https://wikirate.org/~3357439,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Accenture,2016,506841,https://wikirate.org/~3357439,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2016,27203,,,
Newsweek+Energy Productivity,Accenture,2016,11.7,https://wikirate.org/~2638071,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2016,290253,,,
"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",Accenture,2016,797094,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2016,0.7558671875,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2016,263050,,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2016,103.47280334728,,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2016,0.070841145833333,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2016,10.1408194164589,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2015,26290,https://wikirate.org/~976894,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2015,237239,https://wikirate.org/~976894,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2015,26290,,,
Newsweek+Energy Productivity,Accenture,2015,11.1,,,
Global Reporting Initiative+Greenhouse Gas (GHG) emissions intensity ratio (G4-EN18-a),Accenture,2015,2.14,https://wikirate.org/~976903,,
"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)",Accenture,2015,Unknown,https://wikirate.org/~976894,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2015,263529,,,
Global Reporting Initiative+Reduction of greenhouse gas (GHG) emissions (G4-EN19-a),Accenture,2015,Unknown,https://wikirate.org/~976894,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2015,0.736114525139665,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2015,237239,,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2015,88.3192797393086,,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2015,0.073435754189944,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2015,2.22345488892423,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2014,29767,https://wikirate.org/~976894,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2014,228030,https://wikirate.org/~976894,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2014,29767,,,
Newsweek+Energy Productivity,Accenture,2014,80.1,,,
Global Reporting Initiative+Greenhouse Gas (GHG) emissions intensity ratio (G4-EN18-a),Accenture,2014,2.28,https://wikirate.org/~976903,,
"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)",Accenture,2014,Unknown,https://wikirate.org/~976894,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2014,257797,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2014,0.845236065573771,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2014,228030,,,
Newsweek+Greenhouse Gas Productivity,Accenture,2014,66.8,,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2014,92.573472243819,,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2014,0.097596721311475,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2014,-2.77058040378211,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2013,32155,https://wikirate.org/~976894,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2013,232988,https://wikirate.org/~976894,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2013,32155,,,
Global Reporting Initiative+Greenhouse Gas (GHG) emissions intensity ratio (G4-EN18-a),Accenture,2013,2.58,https://wikirate.org/~976903,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2013,265143,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2013,0.964156363636364,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2013,232988,,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2013,342.694234253437,,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2013,0.116927272727273,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2013,13.3099428200241,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2012,9383,https://wikirate.org/~976894,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2012,224615,https://wikirate.org/~976894,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2012,9383,,,
Global Reporting Initiative+Greenhouse Gas (GHG) emissions intensity ratio (G4-EN18-a),Accenture,2012,2.68,https://wikirate.org/~976903,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2012,233998,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2012,0.910498054474708,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2012,224615,,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2012,77.5582740948917,,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2012,0.036509727626459,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2012,8.26524285859698,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2011,12098,https://wikirate.org/~976894,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2011,204036,https://wikirate.org/~976894,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2011,12098,,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2011,216134,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2011,204036,,,
